ImageName,X,Y,W,H,Lon,Lat
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,13289,605,6,10,127.61691190436878,37.30877196860075
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,13775,446,7,10,127.7043179815136,37.33733839463575
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,14617,272,10,10,127.85586376994456,37.36859976652311
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,14714,528,8,11,127.87311142339966,37.32251619244778
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,14690,145,8,10,127.86879951003588,37.39141697473974
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,15464,313,8,8,128.00785871601758,37.36141324425015
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,13256,1151,8,12,127.6111626865504,37.21049627651807
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,13168,1131,7,11,127.59526250602148,37.214179369182965
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,13844,875,8,10,127.71680456396287,37.2602629432583
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,14524,868,6,8,127.83879577954629,37.26170024771289
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,15786,1174,9,8,128.0658000518433,37.20672335232477
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,6160,1492,10,16,126.33645329838481,37.148871848027476
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,6145,1740,10,16,126.33375835253244,37.10431540993515
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,7056,1477,7,11,126.49716190271378,37.15201595152189
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,7077,1503,9,13,126.50111448996391,37.147165048987645
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,8069,1524,8,12,126.67925041080481,37.14348195632276
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,8159,1617,6,8,126.69524042286214,37.127132618151784
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,11138,1592,9,9,127.23072616372579,37.13153436304397
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,11308,1558,10,10,127.26135871491427,37.13755307544757
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,11848,1437,10,12,127.35837676559917,37.159112642266436
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,12290,1517,8,10,127.43760817365852,37.14491926077735
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,12420,1664,8,9,127.46096437104562,37.118598622952646
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,12874,1476,8,11,127.54253139884368,37.152195614578716
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,13394,1445,5,12,127.63568669380687,37.157675337811845
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,13972,1693,7,12,127.73971160370792,37.11311889971952
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,15286,1369,7,9,127.97578886037452,37.1715992247157
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,15786,1174,9,9,128.0658000518433,37.20663352079636
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5274,1864,6,16,126.17691250392518,37.08203719088898
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5040,2168,9,17,126.13514084321362,37.0273297900861
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5142,2160,9,16,126.15346647500967,37.0288569260691
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5169,1984,9,15,126.15831737754391,37.06056745559852
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5133,2237,9,19,126.15184950749824,37.01475337610843
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,4762,2170,8,14,126.08510468188817,37.02723995855769
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5217,2265,7,12,126.16676154121463,37.010351631216245
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,4918,2286,8,17,126.11313211875269,37.00612954938088
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5089,2029,9,18,126.14394433299799,37.05221312345621
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5474,1849,8,12,126.21302477834678,37.08509146285499
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5274,1863,12,16,126.17745149309565,37.0822168539458
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5408,2286,10,17,126.20134667965323,37.00612954938088
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5817,2321,11,14,126.27491870142262,37.00011083697728
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5446,1993,9,13,126.20808404428412,37.05913015114393
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5394,1896,10,14,126.1988313968577,37.07646763612744
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5521,2153,9,14,126.22155877354592,37.030294230523694
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5220,2264,4,13,126.16703103579987,37.01044146274465
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5390,2154,8,13,126.19793308157358,37.03020439899529
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5942,2211,11,13,126.2973765835256,37.01996360475632
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,6065,2138,8,13,126.31920564492971,37.03307900790447
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5815,2321,12,14,126.27464920683738,37.00011083697728
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,6531,2088,6,11,126.40274896635283,37.042241823802485
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,7157,2083,9,14,126.51548753450983,37.04287064450137
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,8513,2354,7,9,126.75893097650622,36.99463111374415
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,9254,2035,7,9,126.89206130161273,37.05194362887098
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,9897,2242,7,8,127.0075846471505,37.014843207636844
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,9383,1754,7,10,126.91523783594302,37.102339116310084
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,9925,2227,7,7,127.01261521274157,37.01762798501761
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,10775,2149,8,7,127.1654186425703,37.03164170344988
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,11252,2050,8,8,127.2511179206753,37.04933851454703
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,11672,2050,6,7,127.32639674148452,37.049428346075445
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,13094,2185,8,11,127.58205727134494,37.024814507290564
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,13245,1746,7,10,127.60909656139694,37.103776420764675
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,14229,2156,10,9,127.7861545038969,37.03020439899529
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,14433,2122,8,8,127.82262610443215,37.03640277445571
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,14829,2124,7,9,127.893682843406,37.03595361681365
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,15081,2053,6,9,127.9388681021972,37.048709693848146
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,950,2739,8,17,125.40022910927544,36.924742184639655
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,2011,2478,7,12,125.59076178103719,36.97208340011275
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,2986,2856,9,21,125.76611292449732,36.90336228087761
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,4467,2677,6,13,126.03192441706828,36.93624062027638
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5817,2322,11,14,126.27491870142262,36.99993117392046
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5945,2567,7,9,126.29755624658243,36.95636288264066
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5815,2322,11,14,126.27455937530897,36.99993117392046
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,6660,2511,8,10,126.42610516373993,36.96633418229439
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,7802,2478,8,11,126.63128037463284,36.972173231641165
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,8405,2955,10,5,126.73979686095447,36.88701294270663
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,8280,2648,7,9,126.71706948426625,36.94181017503792
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,8789,2863,7,7,126.80851798018962,36.90336228087761
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,8804,2944,7,7,126.81121292604197,36.88880957327487
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,9862,2863,9,11,127.0014761032185,36.90300295476396
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,9911,2752,6,10,127.01001009841762,36.923035385599825
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,9862,2861,8,14,127.00138627169008,36.90309278629237
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,11048,2621,8,11,127.21446665708322,36.94648141451535
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,11321,2520,8,11,127.26351467159616,36.96462738325456
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,11730,2661,7,9,127.33690703030872,36.93947455529921
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,13088,2447,8,10,127.58097929300399,36.977832617931114
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,13086,2608,11,11,127.58088946147558,36.948817034254056
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,13313,2333,9,9,127.62149331231778,36.998404037937455
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,13033,2512,8,12,127.57109782487868,36.965974856180736
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,13835,2614,6,10,127.71500793339462,36.947828887441524
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,14578,2652,8,11,127.8486772476716,36.940911859753804
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,1893,3168,9,19,125.56974120338879,36.847487070205375
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,2115,3411,8,22,125.60953657047529,36.80355945281193
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,1987,3260,8,20,125.58653969920182,36.83086823744916
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,2744,2960,8,19,125.72254463321752,36.884856986024744
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,2566,3264,7,15,125.69047477757445,36.83059874286393
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,2909,3278,8,16,125.75218903759347,36.82799362853998
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,2910,3278,8,16,125.7523687006503,36.82799362853998
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,4728,3136,7,14,126.07890630642774,36.853685445665796
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5667,3371,10,13,126.24787941137062,36.81155445884059
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5561,3156,8,10,126.22865546429047,36.85045151064297
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5855,3341,8,8,126.28147640299669,36.81739350818737
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,6508,3533,7,6,126.39870654757429,36.783077864334004
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,7160,3469,7,8,126.51584686062347,36.79439663691391
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,7421,3197,7,9,126.56273891845451,36.8431751568416
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,7509,3412,9,10,126.57872893051184,36.80445776809605
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,8069,3066,8,10,126.67925041080481,36.86662118575712
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,8601,3257,7,10,126.77474132550672,36.83230554190376
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,8505,3012,8,9,126.75758350358004,36.87641282235402
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,8342,3534,8,6,126.72829842531775,36.78289820127718
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,8120,3396,6,12,126.68823356364601,36.807152713948405
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,9145,3362,9,11,126.87265769147575,36.81335108940883
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,8884,3308,6,9,126.82549613905947,36.82323255753415
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,9462,3474,8,9,126.92952104896051,36.79340849010138
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,9405,3329,8,12,126.91928025472156,36.81919013875561
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,10195,3153,12,12,127.06157339572609,36.850810836756615
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,10989,3533,11,6,127.20413603131585,36.783077864334004
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,11914,3194,8,11,127.37005486429273,36.84353448295525
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,12040,3258,8,9,127.39269240945254,36.832215710375344
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,12063,3233,7,8,127.39673482823108,36.83679711832435
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,12570,3371,8,10,127.48791382956921,36.81182395342583
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,13222,3354,7,11,127.60496431108999,36.814788393863424
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,12929,3483,7,9,127.55232303544058,36.79179152258996
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,14291,3227,7,12,127.79702411883474,36.83751577055165
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,14814,3519,9,14,127.89116756061046,36.78487449490224
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,2011,4049,8,21,125.5908516125656,36.68902425408669
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,2182,3633,8,18,125.62157399528249,36.764033580310674
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,2792,3515,11,16,125.7314379545303,36.78541348407271
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,3969,3619,7,14,125.9425420462984,36.766908189219855
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5550,3854,8,11,126.2266791706654,36.724956865451475
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,6423,3953,6,8,126.38334535621584,36.70743971741114
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5890,4000,8,9,126.28776460998553,36.698905722212004
S1A_IW_GRDH_1SDV_20190109T093135_20190109T093200_025399_02D02B_A625,5901,3848,9,10,126.289830735139,36.726124675320825
