ImageName,Lon,Lat,Color,Size,X,Y,W,H
2024-10-12-01-47-23_UMBRA-07_SICD_MM,1814.0,3678.0,153097098,0.93914294,1781.5,3615.5,65.0,125.0
2024-10-12-01-47-23_UMBRA-07_SICD_MM,3829.0,4302.0,153097098,0.93117774,3798.5,4235.5,61.0,133.0
2024-10-12-01-47-23_UMBRA-07_SICD_MM,939.0,5736.0,153097098,0.9186363,891.0,5639.5,96.0,193.0
2024-10-12-01-47-23_UMBRA-07_SICD_MM,4067.0,4205.0,153097098,0.9016859,4033.5,4107.5,67.0,195.0
2024-10-12-01-47-23_UMBRA-07_SICD_MM,5064.0,1828.0,153097098,0.87338966,5038.0,1775.0,52.0,106.0
2024-10-12-01-47-23_UMBRA-07_SICD_MM,7288.0,5992.0,153097098,0.81770116,7275.0,5963.0,26.0,58.0
2024-10-12-01-47-23_UMBRA-07_SICD_MM,1791.0,6496.0,153097098,0.7676957,1641.0,6425.5,300.0,141.0
2024-10-12-01-47-23_UMBRA-07_SICD_MM,6401.0,5654.0,153097098,0.75114286,6248.0,5543.5,306.0,221.0
2024-10-12-01-47-23_UMBRA-07_SICD_MM,7896.0,3618.0,153097098,0.7470572,7877.5,3571.5,37.0,93.0
2024-10-12-01-47-23_UMBRA-07_SICD_MM,1904.0,3263.0,153097098,0.7230987,1847.5,3053.0,113.0,420.0
2024-10-12-01-47-23_UMBRA-07_SICD_MM,4180.0,3185.0,153097098,0.6517611,4145.5,3162.5,69.0,45.0
2024-10-12-01-47-23_UMBRA-07_SICD_MM,3391.0,4007.0,153097098,0.625002,3347.0,3985.5,88.0,43.0
2024-10-12-01-47-23_UMBRA-07_SICD_MM,4592.0,4981.0,153097098,0.5890496,4560.0,4921.5,64.0,119.0
2024-10-12-01-47-23_UMBRA-07_SICD_MM,726.0,4443.0,153097098,0.54824877,665.5,4374.5,121.0,137.0
2024-10-12-01-47-23_UMBRA-07_SICD_MM,3834.0,1901.0,153097098,0.530565,3736.0,1847.5,196.0,107.0
2024-10-12-01-47-23_UMBRA-07_SICD_MM,6518.0,5411.0,153097098,0.5123097,6496.0,5367.0,44.0,88.0
2024-10-12-01-47-23_UMBRA-07_SICD_MM,3721.0,5048.0,153097098,0.38108826,3696.0,4904.5,50.0,287.0
2024-10-12-01-47-23_UMBRA-07_SICD_MM,5887.0,4777.0,153097098,0.35183248,5858.5,4729.0,57.0,96.0
2024-10-12-01-47-23_UMBRA-07_SICD_MM,2851.0,4757.0,153097098,0.29017004,2790.5,4720.5,121.0,73.0
2024-10-12-01-47-23_UMBRA-07_SICD_MM,1607.0,5562.0,153097098,0.2879897,1576.0,5543.5,62.0,37.0
2024-10-12-01-47-23_UMBRA-07_SICD_MM,5406.0,3744.0,153097098,0.27892298,5369.0,3696.5,74.0,95.0
