ImageName,X,Y,W,H,Lon,Lat
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,14033,400,7,7,127.74989889728245,37.346124200201146
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,7566,1113,7,11,126.58801790880227,37.21766511457205
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,7566,1113,6,11,126.58792807727386,37.21766511457205
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,13285,939,9,10,127.615690593835,37.249016317987824
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,13690,770,7,9,127.68827446879186,37.27946920611947
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,14110,1178,7,8,127.76373295265789,37.20625651046373
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,14182,844,7,10,127.77666869274921,37.26608430838609
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,7548,1747,7,13,126.58478397377944,37.10357907348887
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,9920,1740,9,11,127.01112440762256,37.105016377943464
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,10662,1795,9,5,127.1444343957859,37.09567389898862
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,11313,1560,11,9,127.26157470883508,37.13753539122859
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,12294,1518,8,10,127.4375546729941,37.14499140808678
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,12854,1470,8,9,127.53816598481548,37.15370506634274
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,12880,1478,7,9,127.5427473927645,37.15226776188815
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,13008,1575,7,9,127.56574426403796,37.134840445376234
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,13341,1351,6,10,127.6254822304319,37.17499513857637
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,13976,1694,10,12,127.73992759762874,37.11319104702895
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,14110,1177,7,8,127.76373295265789,37.20643617352056
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,14796,1353,8,8,127.88707164116751,37.17481547551955
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,15793,1175,9,9,128.06628554034936,37.20670566810579
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,5208,2103,9,15,126.16455208386833,37.039439362202735
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,5230,1917,9,17,126.16850467111846,37.07267702771516
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,5138,2215,9,15,126.15197566989065,37.01931709983846
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,5258,2152,11,16,126.17371489976634,37.03054604088995
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,5229,1918,9,16,126.16832500806163,37.072587196186745
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,6095,1987,8,13,126.32382338374272,37.060459939851135
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,6047,2166,8,15,126.31519955701516,37.02812058962283
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,6056,2199,7,13,126.31672669299817,37.02237137180447
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,6516,2118,8,14,126.39946153066558,37.036834247878794
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,7547,1746,8,13,126.58469414225102,37.10375873654569
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,8657,2065,7,9,126.78403030379715,37.04680554753252
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,8908,2092,8,9,126.82921556258836,37.04195464499827
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,9591,1875,8,9,126.95192543039909,37.08094152832906
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,9866,2345,7,9,127.00124293949725,36.99649989162182
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,9866,2345,7,10,127.00124293949725,36.99641006009341
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,9920,1740,9,10,127.01112440762256,37.10510620947188
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,9979,2373,8,6,127.02163469644675,36.99173882061599
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,11257,2050,8,10,127.2512440830677,37.04941066185646
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,11841,1885,6,8,127.35598764519605,37.07923472928923
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,12433,1907,9,10,127.46261766942104,37.07510247898228
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,12293,2122,9,11,127.43746484146568,37.036385090236735
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,13191,1951,9,12,127.59880226649355,37.06701764142521
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,14439,2123,8,9,127.82293192988138,37.036385090236735
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,5046,2320,9,8,126.13544666866285,37.001081299570835
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,7070,2783,7,8,126.49890503261761,36.917897304261366
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,7529,2534,7,8,126.58137037569978,36.96263340541052
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,7910,2680,7,9,126.64982200034969,36.93631276758582
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,8237,2741,9,11,126.70875148298794,36.92517365806273
