ImageName,X,Y,W,H,Lon,Lat,COG,SOG,Class
2024-10-12-01-47-23_UMBRA-07_SICD_MM,3796.5,4237.0,61.0,130.0,3827.0,4302.0,0.49,236.0,Fishing
2024-10-12-01-47-23_UMBRA-07_SICD_MM,891.0,5644.0,98.0,190.0,940.0,5739.0,0.54,58.0,Tanker
2024-10-12-01-47-23_UMBRA-07_SICD_MM,4034.5,4108.5,65.0,195.0,4067.0,4206.0,3.82,256.0,Cargo
2024-10-12-01-47-23_UMBRA-07_SICD_MM,1782.0,3615.5,60.0,123.0,1812.0,3677.0,10.0,262.0,Tanker
2024-10-12-01-47-23_UMBRA-07_SICD_MM,5038.0,1774.0,54.0,106.0,5065.0,1827.0,10.0,83.0,Tanker
2024-10-12-01-47-23_UMBRA-07_SICD_MM,7878.5,3571.5,37.0,91.0,7897.0,3617.0,10.0,267.0,Dredger
2024-10-12-01-47-23_UMBRA-07_SICD_MM,6493.5,5367.0,45.0,86.0,6516.0,5410.0,0.36,64.0,Tanker
2024-10-12-01-47-23_UMBRA-07_SICD_MM,4365.0,4622.5,54.0,55.0,4392.0,4650.0,0.53,31.0,TugTow
2024-10-12-01-47-23_UMBRA-07_SICD_MM,7273.5,5964.0,27.0,60.0,7287.0,5994.0,0.22,107.0,Tanker
2024-10-12-01-47-23_UMBRA-07_SICD_MM,3248.0,4900.0,524.0,60.0,3510.0,4930.0,0.1,340.0,Fishing
2024-10-12-01-47-23_UMBRA-07_SICD_MM,1650.0,6423.0,412.0,156.0,1856.0,6501.0,0.18,294.0,Tanker
2024-10-12-01-47-23_UMBRA-07_SICD_MM,4142.5,3163.5,81.0,43.0,4183.0,3185.0,3.45,7.0,Tanker
2024-10-12-01-47-23_UMBRA-07_SICD_MM,5860.0,4729.5,54.0,95.0,5887.0,4777.0,0.0,106.0,Cargo
2024-10-12-01-47-23_UMBRA-07_SICD_MM,1084.5,4294.5,197.0,121.0,1183.0,4355.0,0.0,158.0,Cargo
2024-10-12-01-47-23_UMBRA-07_SICD_MM,1374.5,2161.0,345.0,172.0,1547.0,2247.0,0.0,12.0,Dredger
2024-10-12-01-47-23_UMBRA-07_SICD_MM,2232.5,3551.0,27.0,68.0,2246.0,3585.0,4.35,244.0,Tanker
2024-10-12-01-47-23_UMBRA-07_SICD_MM,1618.5,5952.0,101.0,182.0,1669.0,6043.0,0.31,186.0,Tanker
2024-10-12-01-47-23_UMBRA-07_SICD_MM,3310.0,4923.5,30.0,79.0,3325.0,4963.0,2.3,82.0,Tanker
2024-10-12-01-47-23_UMBRA-07_SICD_MM,1620.0,3781.0,156.0,434.0,1698.0,3998.0,0.28,101.0,Dredger
2024-10-12-01-47-23_UMBRA-07_SICD_MM,2253.5,5258.0,101.0,86.0,2304.0,5301.0,0.92,113.0,Dredger
2024-10-12-01-47-23_UMBRA-07_SICD_MM,3344.5,3985.5,93.0,45.0,3391.0,4008.0,3.85,341.0,Tanker
2024-10-12-01-47-23_UMBRA-07_SICD_MM,3175.0,2030.5,44.0,55.0,3197.0,2058.0,0.97,229.0,Tanker
